City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Kwinana,AU,62.15,clear sky,-32.25,115.7667,Rockingham Apartments
556,Meulaboh,ID,79.54,overcast clouds,4.1363,96.1285,Kost Pria
558,Kutahya,TR,50.86,overcast clouds,39.4242,29.9833,Grand Çınar Hotel
559,Huilong,CN,59.94,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
561,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
562,Tabou,CI,76.93,overcast clouds,4.423,-7.3528,hotêl doufoulougou
564,Taganak,PH,82.54,few clouds,6.0833,118.3,Taganak
565,Oriximina,BR,75.87,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
566,Sur,OM,85.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
567,Palmerston North,NZ,68.5,overcast clouds,-40.35,175.6167,Distinction Coachman Hotel Palmerston North
569,Porto Santo,PT,61.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
571,Tautira,PF,81.36,light rain,-17.7333,-149.15,Pension Oaoa
572,Porto Seguro,BR,79.32,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
574,Ngunguru,NZ,66.47,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
575,Podor,MR,76.95,clear sky,16.6527,-14.9587,Auberge Du Tékrour
577,Mae Sai,TH,77.34,scattered clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
578,Lamar,US,67.35,clear sky,33.6668,-95.5836,Kings Inn Paris TX
579,Santiago Del Estero,AR,65.35,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
582,Marolambo,MG,67.96,broken clouds,-20.05,48.1167,local guide suport centre
584,Dabat,ET,60.55,overcast clouds,12.9842,37.765,Haymanot hotel
585,Toul,FR,53.89,clear sky,48.6667,5.9167,Abc Hotel
586,Castro-Urdiales,ES,57.42,clear sky,43.3829,-3.2204,Hotel Las Rocas Playa
587,Smithers,CA,50.32,scattered clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
588,Manjeshwar,IN,76.15,clear sky,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
589,Chisec,GT,88.03,broken clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
595,San Clemente,US,81.05,clear sky,33.427,-117.612,Casablanca Inn
597,Mattru,SL,77.36,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
598,Macae,BR,65.95,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
599,Jibuti,DJ,76.15,clear sky,11.5,42.5,Orchid Main Camp Goubet
600,Doka,SD,86.43,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
601,Norwalk,US,82.49,clear sky,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
602,Keti Bandar,PK,79.32,clear sky,24.1447,67.4497,Haji laloo memon house
605,Aborlan,PH,86.07,overcast clouds,9.4352,118.5492,Kevina Transient House
606,Kokopo,PG,84.9,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
607,Arlit,NE,75.78,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
608,Necochea,AR,58.93,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
609,Antofagasta,CL,60.3,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
610,Dimona,IL,74.93,overcast clouds,31.0667,35.0333,Desert Sounds Hotel
611,Venice,US,79.14,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
613,Presidencia Roque Saenz Pena,AR,59.45,clear sky,-26.7852,-60.4388,Hotel Gualok
614,Kosai,JP,61.93,light rain,34.7105,137.5316,Hotel Route Inn Hamanako
615,Samarai,PG,81.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
616,Villa Guerrero,MX,89.22,overcast clouds,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
620,Belokurikha,RU,54.79,overcast clouds,51.9959,84.9896,Neo Hotel
621,Locri,IT,50.32,overcast clouds,38.2414,16.2623,Grand Hotel President
