City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Akdepe,TM,2022-04-06 22:39:54,42.0551,59.3788,53.69,46,95,3.8
158,Guadalupe Y Calvo,MX,2022-04-06 22:39:54,26.1,-106.9667,69.58,17,9,13.38
159,Fortuna,US,2022-04-06 22:39:54,40.5982,-124.1573,68.86,52,20,13.8
160,Husavik,IS,2022-04-06 22:39:55,66.0449,-17.3389,24.39,70,100,8.32
161,Jieshi,CN,2022-04-06 22:39:55,22.8134,115.8257,69.94,74,89,11.25
162,Mar Del Plata,AR,2022-04-06 22:39:55,-38.0023,-57.5575,75.22,70,0,11.5
163,Geraldton,AU,2022-04-06 22:39:56,-28.7667,114.6,70.21,52,47,17.27
164,Pakala,IN,2022-04-06 22:39:56,13.4667,79.1167,72.32,90,70,3.56
165,Cusuna,HN,2022-04-06 22:39:57,15.85,-85.2333,87.1,59,98,15.82
166,Padang,ID,2022-04-06 22:39:57,-0.9492,100.3543,76.1,88,100,1.61
167,Lorengau,PG,2022-04-06 22:39:58,-2.0226,147.2712,79.02,89,100,9.86
168,Sainte-Anne-Des-Monts,CA,2022-04-06 22:39:58,49.124,-66.4924,35.47,64,33,8.05
169,Egvekinot,RU,2022-04-06 22:39:59,66.3167,-179.1667,-9.6,88,86,3.31
170,Harper,LR,2022-04-06 22:39:59,4.375,-7.7169,80.31,85,77,6.76
171,Coquimbo,CL,2022-04-06 22:39:59,-29.9533,-71.3436,56.93,94,75,9.22
172,Bardiyah,LY,2022-04-06 22:40:00,31.7561,25.0865,69.85,51,63,11.9
173,Rahatgarh,IN,2022-04-06 22:40:00,23.7833,78.3667,81.64,12,64,7.56
174,San Pedro,PH,2022-04-06 22:40:00,14.35,121.0167,77.36,91,75,1.14
175,Port Alfred,ZA,2022-04-06 22:36:25,-33.5906,26.891,59.18,72,17,5.01
176,Bathsheba,BB,2022-04-06 22:41:01,13.2167,-59.5167,79.41,73,40,18.41
177,Lexington,US,2022-04-06 22:36:32,37.9887,-84.4777,52.92,86,100,1.01
178,Salekhard,RU,2022-04-06 22:41:01,66.53,66.6019,14.7,87,100,10.8
179,Waw,SS,2022-04-06 22:41:02,7.7029,27.9953,84.96,40,8,4.68
180,Necochea,AR,2022-04-06 22:41:02,-38.5473,-58.7368,63.7,72,33,7.45
181,Bilma,NE,2022-04-06 22:41:02,18.6853,12.9164,85.05,7,19,10.07
182,Bethlehem,BR,2022-04-06 22:36:40,-1.4558,-48.5044,77.04,94,75,6.91
183,Thompson,CA,2022-04-06 22:36:51,55.7435,-97.8558,32.16,93,100,12.66
184,Voznesenye,RU,2022-04-06 22:41:03,61.0106,35.4781,23.43,88,92,8.28
185,Tiksi,RU,2022-04-06 22:41:03,71.6872,128.8694,-13.27,100,100,3.65
186,Vani,GE,2022-04-06 22:41:04,42.0832,42.5216,44.29,100,75,2.3
