City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
559,Huilong,CN,31.8111,121.655,59.94,62,100,4.79,overcast clouds
560,Senno,RU,59.5336,33.9167,30.25,96,100,1.92,overcast clouds
561,Hambantota,LK,6.1241,81.1185,73.74,100,20,0.0,few clouds
562,Tabou,CI,4.423,-7.3528,76.93,89,100,2.01,overcast clouds
563,Ritchie,ZA,-29.038,24.6028,49.21,82,0,3.71,clear sky
564,Taganak,PH,6.0833,118.3,82.54,73,14,4.23,few clouds
565,Oriximina,BR,-1.7656,-55.8661,75.87,92,96,2.86,overcast clouds
566,Sur,OM,22.5667,59.5289,85.1,46,0,8.88,clear sky
567,Palmerston North,NZ,-40.35,175.6167,68.5,66,100,15.01,overcast clouds
568,Yerbogachen,RU,61.2767,108.0108,35.42,69,81,14.03,broken clouds
569,Porto Santo,PT,33.072,-16.3415,61.18,82,20,11.5,few clouds
570,Fort Nelson,CA,58.8053,-122.7002,20.79,45,75,3.44,broken clouds
571,Tautira,PF,-17.7333,-149.15,81.36,72,21,11.25,light rain
572,Porto Seguro,BR,-16.4497,-39.0647,79.32,69,75,8.05,broken clouds
573,Brae,GB,60.3964,-1.353,45.88,82,100,21.07,overcast clouds
574,Ngunguru,NZ,-35.6167,174.5,66.47,93,100,23.58,light rain
575,Podor,MR,16.6527,-14.9587,76.95,53,0,4.61,clear sky
576,Amga,RU,60.8953,131.9608,34.66,61,13,10.33,few clouds
577,Mae Sai,TH,20.4335,99.8762,77.34,74,32,2.01,scattered clouds
578,Lamar,US,33.6668,-95.5836,67.35,82,0,8.05,clear sky
579,Santiago Del Estero,AR,-27.7951,-64.2615,65.35,56,0,3.8,clear sky
580,Turukhansk,RU,65.8167,87.9833,5.67,93,100,8.93,overcast clouds
581,Kelvington,CA,52.1667,-103.5343,18.18,92,98,4.52,overcast clouds
582,Marolambo,MG,-20.05,48.1167,67.96,95,71,1.34,broken clouds
583,Klyuchevskiy,RU,53.5317,119.4519,39.2,62,100,4.81,overcast clouds
584,Dabat,ET,12.9842,37.765,60.55,57,99,2.37,overcast clouds
585,Toul,FR,48.6667,5.9167,53.89,58,0,8.05,clear sky
586,Castro-Urdiales,ES,43.3829,-3.2204,57.42,82,0,7.25,clear sky
587,Smithers,CA,54.7804,-127.1743,50.32,17,40,2.3,scattered clouds
588,Manjeshwar,IN,12.7194,74.8861,76.15,83,0,2.68,clear sky
589,Chisec,GT,15.8167,-90.2833,88.03,75,62,3.51,broken clouds
590,Havoysund,NO,70.9963,24.6622,43.03,96,100,14.25,overcast clouds
591,Mugur-Aksy,RU,50.35,90.5,38.61,34,100,5.08,overcast clouds
592,Yar-Sale,RU,66.8333,70.8333,13.37,85,100,8.37,overcast clouds
593,Avera,US,33.194,-82.5271,71.65,71,100,3.24,overcast clouds
594,Channel-Port Aux Basques,CA,47.5702,-59.1367,35.17,85,100,24.54,overcast clouds
595,San Clemente,US,33.427,-117.612,81.05,68,7,4.0,clear sky
596,Talnakh,RU,69.4865,88.3972,4.21,94,100,5.01,overcast clouds
597,Mattru,SL,7.6244,-11.8332,77.36,85,100,2.84,overcast clouds
598,Macae,BR,-22.3708,-41.7869,65.95,94,0,1.14,clear sky
599,Jibuti,DJ,11.5,42.5,76.15,64,6,4.16,clear sky
600,Doka,SD,13.5167,35.7667,86.43,38,99,8.34,overcast clouds
601,Norwalk,US,33.9022,-118.0817,82.49,57,0,11.5,clear sky
602,Keti Bandar,PK,24.1447,67.4497,79.32,90,6,12.17,clear sky
603,Port-Cartier,CA,50.0334,-66.8654,41.22,72,100,16.31,overcast clouds
604,Amapa,BR,1.0,-52.0,72.5,99,100,2.01,overcast clouds
605,Aborlan,PH,9.4352,118.5492,86.07,75,100,9.17,overcast clouds
606,Kokopo,PG,-4.352,152.2633,84.9,67,48,3.98,scattered clouds
607,Arlit,NE,18.7369,7.3853,75.78,15,100,6.06,overcast clouds
608,Necochea,AR,-38.5473,-58.7368,58.93,83,100,9.82,overcast clouds
609,Antofagasta,CL,-23.65,-70.4,60.3,85,62,2.82,broken clouds
610,Dimona,IL,31.0667,35.0333,74.93,12,94,7.54,overcast clouds
611,Venice,US,27.0998,-82.4543,79.14,89,0,8.05,mist
612,Vangazi,LV,57.0936,24.5486,34.63,78,78,2.75,broken clouds
613,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.45,83,0,5.48,clear sky
614,Kosai,JP,34.7105,137.5316,61.93,77,100,12.73,light rain
615,Samarai,PG,-10.6167,150.6667,81.97,80,100,10.58,overcast clouds
616,Villa Guerrero,MX,18.8667,-99.65,89.22,32,100,3.71,overcast clouds
617,Lapua,FI,62.9693,23.0088,33.12,91,100,3.83,overcast clouds
618,Sokyryany,UA,48.4475,27.4168,31.55,84,29,6.04,scattered clouds
619,Borogontsy,RU,62.6683,131.1683,32.83,73,84,11.01,broken clouds
620,Belokurikha,RU,51.9959,84.9896,54.79,53,91,4.52,overcast clouds
621,Locri,IT,38.2414,16.2623,50.32,92,100,1.95,overcast clouds
622,Melnikovo,RU,56.5558,84.085,34.25,80,64,4.92,broken clouds
623,Anshun,CN,26.25,105.9333,45.07,83,100,9.86,overcast clouds
624,Marovoay,MG,-16.1,46.6333,74.39,78,18,4.32,few clouds
625,Arrecife,ES,28.963,-13.5477,73.38,46,0,13.8,clear sky
626,La Paz,BO,-16.5,-68.15,46.38,75,20,5.75,few clouds
627,Alice Springs,AU,-23.7,133.8833,78.35,38,2,11.5,clear sky
628,Capiata,PY,-25.35,-57.4167,68.25,72,0,5.75,clear sky
629,Milyutinskaya,RU,48.6279,41.6679,49.44,63,100,10.22,overcast clouds
630,Ushumun,RU,52.7833,126.5333,39.87,34,100,11.21,overcast clouds
631,Ankazoabo,MG,-22.2833,44.5167,72.73,67,99,4.29,overcast clouds
632,The Valley,AI,18.217,-63.0578,79.11,78,71,24.29,broken clouds
633,Novoagansk,RU,61.9449,76.6625,14.43,96,99,5.12,overcast clouds
634,Bowen,AU,-20.0167,148.2333,80.55,58,3,14.58,clear sky
635,Yumen,CN,40.2833,97.2,46.45,24,0,6.93,clear sky
636,Wajir,KE,1.7471,40.0573,80.49,71,86,14.0,light rain
637,Koungou,YT,-12.7336,45.2042,78.51,89,0,4.61,clear sky
638,Mokhsogollokh,RU,61.4681,128.9203,32.79,62,100,11.81,overcast clouds
639,Bandarbeyla,SO,9.4942,50.8122,80.37,82,16,8.55,few clouds
640,Camana,PE,-16.6228,-72.7111,66.92,80,67,6.33,broken clouds
641,Klaipeda,LT,55.7172,21.1175,32.05,68,21,8.12,few clouds
642,Kardla,EE,58.9978,22.7492,35.96,69,61,4.36,broken clouds
643,Galesong,ID,-5.3166,119.3661,78.82,78,56,5.77,broken clouds
644,Pastos Bons,BR,-6.6017,-44.0767,74.44,90,100,2.21,overcast clouds
645,Hirara,JP,24.8,125.2833,75.47,69,40,9.22,scattered clouds
646,Ust-Nera,RU,64.5667,143.2,19.2,86,100,4.27,overcast clouds
647,Jipijapa,EC,-1.3333,-80.5833,76.5,90,26,3.09,scattered clouds
648,Morant Bay,JM,17.8815,-76.4093,80.22,82,7,6.17,clear sky
649,Lipari,IT,38.4674,14.954,54.32,68,100,6.93,overcast clouds
650,Daloa,CI,6.8774,-6.4502,73.42,94,100,1.83,light rain
651,Yazoo City,US,32.8551,-90.4056,64.71,97,20,2.01,few clouds
652,Paita,PE,-5.0892,-81.1144,69.17,76,33,16.33,scattered clouds
653,Noshiro,JP,40.2039,140.0242,49.03,40,100,8.5,overcast clouds
654,Ladario,BR,-19.0047,-57.6017,70.54,61,0,4.61,clear sky
655,Eyl,SO,7.9803,49.8164,81.03,82,35,8.1,scattered clouds
656,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.82,98,100,0.38,overcast clouds
657,Oktyabrskoye,RU,43.0645,44.7417,41.14,87,61,2.24,broken clouds
